taxon	sequenceID	host	name	subgenus	scaffold	orientation
alignment/AL_RELIK/member/ncbi-curated-erv/FJ493031	FJ493031	Lepus europaeus	RELIK	-	-	-
alignment/AL_RELIK/member/fasta-digs-erv/RELIK.10-Oryctolagus_cuniculus	RELIK.10-Oryctolagus_cuniculus	Oryctolagus cuniculus	RELIK	-	chrX	-
alignment/AL_RELIK/member/fasta-digs-erv/RELIK.105-Oryctolagus_cuniculus	RELIK.105-Oryctolagus_cuniculus	Oryctolagus cuniculus	RELIK	-	chr2	-
alignment/AL_RELIK/member/fasta-digs-erv/RELIK.11-Oryctolagus_cuniculus	RELIK.11-Oryctolagus_cuniculus	Oryctolagus cuniculus	RELIK	-	chr7	-
alignment/AL_RELIK/member/fasta-digs-erv/RELIK.12-Lepus_timidus	RELIK.12-Lepus_timidus	Lepus timidus	RELIK	-	VUAX01000538.1	-
alignment/AL_RELIK/member/fasta-digs-erv/RELIK.13-Oryctolagus_cuniculus	RELIK.13-Oryctolagus_cuniculus	Oryctolagus cuniculus	RELIK	-	chr13	+
alignment/AL_RELIK/member/fasta-digs-erv/RELIK.133-Oryctolagus_cuniculus	RELIK.133-Oryctolagus_cuniculus	Oryctolagus cuniculus	RELIK	-	chrUn0180	-
alignment/AL_RELIK/member/fasta-digs-erv/RELIK.14-Lepus_americanus	RELIK.14-Lepus_americanus	Lepus americanus	RELIK	-	PVJM010004328.1	+
alignment/AL_RELIK/member/fasta-digs-erv/RELIK.17-Oryctolagus_cuniculus	RELIK.17-Oryctolagus_cuniculus	Oryctolagus cuniculus	RELIK	-	chr18	+
alignment/AL_RELIK/member/fasta-digs-erv/RELIK.18-Lepus_americanus	RELIK.18-Lepus_americanus	Lepus americanus	RELIK	-	PVJM010018742.1	-
alignment/AL_RELIK/member/fasta-digs-erv/RELIK.19-Oryctolagus_cuniculus	RELIK.19-Oryctolagus_cuniculus	Oryctolagus cuniculus	RELIK	-	chrUn0002	-
alignment/AL_RELIK/member/fasta-digs-erv/RELIK.2-Oryctolagus_cuniculus	RELIK.2-Oryctolagus_cuniculus	Oryctolagus cuniculus	RELIK	-	chr18	-
alignment/AL_RELIK/member/fasta-digs-erv/RELIK.20-Lepus_americanus	RELIK.20-Lepus_americanus	Lepus americanus	RELIK	-	PVJM010023064.1	+
