taxon	sequenceID	host	name	subgenus	scaffold	orientation
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.1-Lepus_americanus-provirus	ERV-RELIK.1-Lepus_americanus-provirus	Lepus_americanus	RELIK	-	PVJM010023064.1	+
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.1-Lepus_timidus-provirus	ERV-RELIK.1-Lepus_timidus-provirus	Lepus_timidus	RELIK	-	CM019673.1	+
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.1-Oryctolagus_cuniculus-provirus	ERV-RELIK.1-Oryctolagus_cuniculus-provirus	Oryctolagus_cuniculus	RELIK	-	chr18	-
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.10-Oryctolagus_cuniculus-provirus	ERV-RELIK.10-Oryctolagus_cuniculus-provirus	Oryctolagus_cuniculus	RELIK	-	chr13	+
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.11-Lepus_americanus-provirus	ERV-RELIK.11-Lepus_americanus-provirus	Lepus_americanus	RELIK	-	PVJM010004328.1	+
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.12-Oryctolagus_cuniculus-provirus	ERV-RELIK.12-Oryctolagus_cuniculus-provirus	Oryctolagus_cuniculus	RELIK	-	chr18	+
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.13-Oryctolagus_cuniculus-provirus	ERV-RELIK.13-Oryctolagus_cuniculus-provirus	Oryctolagus_cuniculus	RELIK	-	chrUn0002	-
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.14-Lepus_timidus-provirus	ERV-RELIK.14-Lepus_timidus-provirus	Lepus_timidus	RELIK	-	VUAX01000176.1	-
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.14-Oryctolagus_cuniculus-provirus	ERV-RELIK.14-Oryctolagus_cuniculus-provirus	Oryctolagus_cuniculus	RELIK	-	chr12	-
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.15-Oryctolagus_cuniculus-provirus	ERV-RELIK.15-Oryctolagus_cuniculus-provirus	Oryctolagus_cuniculus	RELIK	-	chrUn0420	+
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.16-Lepus_americanus-provirus	ERV-RELIK.16-Lepus_americanus-provirus	Lepus_americanus	RELIK	-	PVJM010063072.1	-
