taxon	sequenceID	host	name	subgenus	scaffold	orientation
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.1-Lepus_americanus-provirus	ERV-RELIK.1-Lepus_americanus-provirus	Lepus_americanus	ERV-RELIK.1-Lepus_americanus-provirus	-	PVJM010023064.1	+
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.1-Lepus_timidus-provirus	ERV-RELIK.1-Lepus_timidus-provirus	Lepus_timidus	ERV-RELIK.1-Lepus_timidus-provirus	-	VUAX01000113.1	+
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.12-Oryctolagus_cuniculus-provirus	ERV-RELIK.12-Oryctolagus_cuniculus-provirus	Oryctolagus_cuniculus	ERV-RELIK.12-Oryctolagus_cuniculus-provirus	-	chr18	+
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.13-Lepus_americanus-provirus	ERV-RELIK.13-Lepus_americanus-provirus	Lepus_americanus	ERV-RELIK.13-Lepus_americanus-provirus	-	PVJM010003657.1	-
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.13-Lepus_timidus-provirus	ERV-RELIK.13-Lepus_timidus-provirus	Lepus_timidus	ERV-RELIK.13-Lepus_timidus-provirus	-	CM019685.1	+
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.13-Oryctolagus_cuniculus-provirus	ERV-RELIK.13-Oryctolagus_cuniculus-provirus	Oryctolagus_cuniculus	ERV-RELIK.13-Oryctolagus_cuniculus-provirus	-	chrUn0002	-
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.14-Lepus_americanus-provirus	ERV-RELIK.14-Lepus_americanus-provirus	Lepus_americanus	ERV-RELIK.14-Lepus_americanus-provirus	-	PVJM010020356.1	+
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.14-Oryctolagus_cuniculus-provirus	ERV-RELIK.14-Oryctolagus_cuniculus-provirus	Oryctolagus_cuniculus	ERV-RELIK.14-Oryctolagus_cuniculus-provirus	-	chrUn0129	+
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.15-Lepus_americanus-provirus	ERV-RELIK.15-Lepus_americanus-provirus	Lepus_americanus	ERV-RELIK.15-Lepus_americanus-provirus	-	PVJM010037697.1	-
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.15-Lepus_timidus-provirus	ERV-RELIK.15-Lepus_timidus-provirus	Lepus_timidus	ERV-RELIK.15-Lepus_timidus-provirus	-	CM019680.1	-
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.15-Oryctolagus_cuniculus-provirus	ERV-RELIK.15-Oryctolagus_cuniculus-provirus	Oryctolagus_cuniculus	ERV-RELIK.15-Oryctolagus_cuniculus-provirus	-	chr18	+
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.16-Oryctolagus_cuniculus-provirus	ERV-RELIK.16-Oryctolagus_cuniculus-provirus	Oryctolagus_cuniculus	ERV-RELIK.16-Oryctolagus_cuniculus-provirus	-	chrUn0280	+
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.17-Oryctolagus_cuniculus-provirus	ERV-RELIK.17-Oryctolagus_cuniculus-provirus	Oryctolagus_cuniculus	ERV-RELIK.17-Oryctolagus_cuniculus-provirus	-	chrUn0514	-
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.2-Oryctolagus_cuniculus-provirus	ERV-RELIK.2-Oryctolagus_cuniculus-provirus	Oryctolagus_cuniculus	ERV-RELIK.2-Oryctolagus_cuniculus-provirus	-	chrUn0420	+
